sku;url_image;name;category;regular_price;stock_quantity;status;
1652;https://maracana.info/1318/cap-new-era-port-city-roasters.jpg;CAP NEW ERA PORT CITY ROASTERS;CAPPELLI;29;12;draft;.
1651;https://maracana.info/1319/cap-new-era-fresno-grizzlies.jpg;CAP NEW ERA FRESNO GRIZZLIES;CAPPELLI;29;12;draft;.
1650;https://maracana.info/1320/cap-new-era-hartford-yard.jpg;CAP NEW ERA HARTFORD YARD;CAPPELLI;29;10;draft;.
1649;https://maracana.info/1315/cap-new-era-delmarva-shore-birds.jpg;CAP NEW ERA DELMARVA SHORE BIRDS;CAPPELLI;29;11;draft;.
1648;https://maracana.info/1314/cap-new-era-wisrat-minor-league.jpg;CAP NEW ERA WISRAT MINOR LEAGUE;CAPPELLI;29;12;draft;.
1647;https://maracana.info/1313/cap-new-era-charleston-alley-cats.jpg;CAP NEW ERA CHARLESTON ALLEY CATS;CAPPELLI;25;12;draft;.
1646;https://maracana.info/1312/cap-new-era-flamingo-miami.jpg;CAP NEW ERA FLAMINGO MIAMI;CAPPELLI;25;12;draft;.
1645;https://maracana.info/1311/cap-new-era-stars-minor-league.jpg;CAP NEW ERA STARS MINOR LEAGUE;CAPPELLI;25;12;draft;.
1644;https://maracana.info/1310/cap-new-era-safsea.jpg;CAP  NEW ERA SAFSEA;CAPPELLI;25;12;draft;.
1641;https://maracana.info/1306/tshirt-new-era-lakers-colour-blocksleeve.jpg;TSHIRT NEW ERA LAKERS COLOUR BLOCKSLEEVE;TSHIRT;39;39;draft;.
1640;https://maracana.info/1305/tshirt-new-era-bulls-colour-block-sleeve.jpg;TSHIRT NEW ERA BULLS COLOUR BLOCK SLEEVE;TSHIRT;39;41;drsaft;.
1568;https://maracana.info/1105/cap-new-era-duffy.jpg;CAP NEW ERA DUFFY;CAPPELLI;25;5;draft;.
1567;https://maracana.info/1103/cap-new-era-bugs-bunny.jpg;CAP NEW ERA BUGS BUNNY;CAPPELLI;25;9;draft;.
1566;https://maracana.info/1104/cap-new-era-tom-and-jerry.jpg;CAP NEW ERA TOM AND JERRY;CAPPELLI;25;11;draft;.
1561;https://maracana.info/1159/cap-new-era-boston-celtics.jpg;CAP NEW ERA BOSTON CELTICS;CAPPELLI;29;20;draft;.
1560;https://maracana.info/1162/cap-new-era-39-thirty-patriots.jpg;CAP NEW ERA 39 THIRTY PATRIOTS;CAPPELLI;35;12;dsraft;.
1559;https://maracana.info/1163/cap-new-era-diamond-lakers.jpg;CAP NEW ERA DIAMOND LAKERS;CAPPELLI;29;5;draft;.
1558;https://maracana.info/1164/cap-new-era-diamond-bucks.jpg;CAP NEW ERA DIAMOND BUCKS;CAPPELLI;29;12;draft;.
1557;https://maracana.info/1165/cap-new-era-la.jpg;CAP NEW ERA LA;CAPPELLI;25;9;draft;.
1555;https://maracana.info/1160/cap-new-era-39-thirty-panthers.jpg;CAP NEW ERA 39 THIRTY PANTHERS;CAPPELLI;35;22;draft;.
1554;https://maracana.info/1166/cap-new-era-39-thirty-eagles.jpg;CAP NEW ERA 39 THIRTY EAGLES;CAPPELLI;35;18;draft;.
1530;https://maracana.info/1194/cap-new-era-bucket.jpg;CAP NEW ERA BUCKET;CAPPELLI;35;0;pending;.
1529;https://maracana.info//beanie-new-era-ny.jpg;BEANIE NEW ERA NY;BEANIE;25;0;pending;.